complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours,vader_label,vader_score,transformer_label,transformer_score,sentiment_label,sentiment_score,sentiment_model_used
1,1,The road near the facility is damaged and causing accidents.,,Maintenance,Open,CUST9935,2025-09-08 11:14:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,,Negative,-0.6369,Negative,-0.9993550181388855,Negative,-0.9993550181388855,transformer
2,2,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST4257,2025-01-03 20:13:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
3,3,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST3615,2025-06-15 15:37:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer
4,4,The equipment at the site is old and frequently malfunctions.,,Maintenance,In Progress,CUST2584,2025-05-07 14:48:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer
5,5,The response time for service requests is unacceptably slow.,Service Delay,Operations,Closed,CUST7201,2025-08-26 08:02:00,2025-08-31 21:25:38,2026-07-23 20:15:32,response time service requests unacceptably slow,133.39388888888888,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
6,6,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST2139,2025-10-20 15:56:00,2025-10-23 11:20:06,2026-07-23 20:15:32,billing error already paid still shows unpaid,67.40166666666667,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer
7,7,My bill amount doubled this month without any explanation.,,Billing,In Progress,CUST5554,2025-09-03 03:54:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
8,8,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST2169,2025-03-12 21:13:00,2025-03-15 07:41:44,2026-07-23 20:15:32,employee refused help arguing instead assisting,58.47888888888889,Negative,-0.3612,Negative,-0.9993220567703247,Negative,-0.9993220567703247,transformer
9,9,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4598,2025-07-08 09:10:00,2025-07-18 12:34:17,2026-07-23 20:15:32,major leakage fixed weeks,243.40472222222223,Neutral,0.0,Negative,-0.9974085688591003,Negative,-0.9974085688591003,transformer
10,10,The road near the facility is damaged and causing accidents.,,Maintenance,In Progress,CUST4456,2025-04-02 09:51:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,,Negative,-0.6369,Negative,-0.9993550181388855,Negative,-0.9993550181388855,transformer
