complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours
1,1,The road near the facility is damaged and causing accidents.,,Maintenance,Open,CUST9935,2025-09-08 11:14:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,
2,2,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST4257,2025-01-03 20:13:00,,2026-07-23 20:15:32,late fee applied paid time,
3,3,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST3615,2025-06-15 15:37:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,
4,4,The equipment at the site is old and frequently malfunctions.,,Maintenance,In Progress,CUST2584,2025-05-07 14:48:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,
5,5,The response time for service requests is unacceptably slow.,Service Delay,Operations,Closed,CUST7201,2025-08-26 08:02:00,2025-08-31 21:25:38,2026-07-23 20:15:32,response time service requests unacceptably slow,133.39388888888888
6,6,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST2139,2025-10-20 15:56:00,2025-10-23 11:20:06,2026-07-23 20:15:32,billing error already paid still shows unpaid,67.40166666666667
7,7,My bill amount doubled this month without any explanation.,,Billing,In Progress,CUST5554,2025-09-03 03:54:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,
8,8,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST2169,2025-03-12 21:13:00,2025-03-15 07:41:44,2026-07-23 20:15:32,employee refused help arguing instead assisting,58.47888888888889
9,9,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4598,2025-07-08 09:10:00,2025-07-18 12:34:17,2026-07-23 20:15:32,major leakage fixed weeks,243.40472222222223
10,10,The road near the facility is damaged and causing accidents.,,Maintenance,In Progress,CUST4456,2025-04-02 09:51:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,
11,11,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST3340,2025-04-16 10:25:00,2025-04-16 11:25:00,2026-07-23 20:15:32,new online system made things much easier well done,1.0
12,12,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST7543,2025-09-18 10:16:00,2025-09-25 07:53:03,2026-07-23 20:15:32,technician visited despite multiple requests,165.6175
13,13,No technician has visited despite multiple requests.,,Operations,Open,CUST3621,2025-07-03 14:48:00,,2026-07-23 20:15:32,technician visited despite multiple requests,
14,14,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST5119,2025-08-13 08:24:00,2025-08-15 17:42:40,2026-07-23 20:15:32,security personnel checking ids properly gate,57.31111111111111
15,15,I want to thank the team for resolving my issue so quickly.,Appreciation,Customer Support,Closed,CUST6573,2025-08-04 12:43:00,2025-08-04 23:09:30,2026-07-23 20:15:32,want thank team resolving issue quickly,10.441666666666666
16,16,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST9201,2025-03-01 16:46:00,2025-03-03 18:03:47,2026-07-23 20:15:32,late fee applied paid time,49.29638888888889
17,17,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST4258,2025-11-28 14:40:00,,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,
18,18,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST6310,2025-07-25 06:59:00,2025-07-26 03:37:41,2026-07-23 20:15:32,bill amount doubled month without explanation,20.64472222222222
19,19,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST2290,2025-12-27 14:51:00,,2026-07-23 20:15:32,staff counter extremely rude today,
20,20,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST8787,2025-10-25 08:34:00,2025-10-26 21:02:03,2026-07-23 20:15:32,late fee applied paid time,36.4675
21,21,"Excellent service today, very satisfied with the response.",,Customer Support,Resolved,CUST9835,2025-04-28 15:38:00,2025-04-29 12:49:59,2026-07-23 20:15:32,excellent service today satisfied response,21.19972222222222
22,22,No safety measures are in place despite previous warnings.,Safety Concern,Security,Resolved,CUST9479,2025-09-13 12:42:00,2025-09-17 06:12:50,2026-07-23 20:15:32,safety measures place despite previous warnings,89.51388888888889
23,23,I was treated very disrespectfully by the customer support agent.,,Customer Support,Resolved,CUST4608,2025-04-11 05:01:00,2025-04-12 22:33:16,2026-07-23 20:15:32,treated disrespectfully customer support agent,41.53777777777778
24,24,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,In Progress,CUST5562,2025-04-02 18:55:00,,2026-07-23 20:15:32,overcharged last bill one responding,
25,25,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST4981,2025-07-24 10:59:00,2025-07-28 13:46:25,2026-07-23 20:15:32,major leakage fixed weeks,98.79027777777777
26,26,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST8651,2025-03-04 13:42:00,2025-03-09 23:00:42,2026-07-23 20:15:32,security personnel checking ids properly gate,129.31166666666667
